os --> olhos -|- 97
um --> magricella -|- 0
um --> lustre -|- 0
um --> longo -|- 0
um --> lindo -|- 0
um --> libretto -|- 0
um --> lenço,--um -|- 0
um --> leitão -|- 0
um --> laço -|- 0
um --> latim -|- 0
um --> languidamente -|- 0
um --> lance -|- 0
um --> lampião -|- 0
um --> juramento -|- 0
um --> joven -|- 0
um --> iria -|- 0
um --> intrigante -|- 0
um --> interrogatorio -|- 0
um --> inimigo -|- 0
um --> inferno -|- 0
um --> impulso -|- 0
um --> imperio -|- 0
um --> grosseirão -|- 0
um --> gaiato -|- 0
um --> fructo -|- 0
um --> frio -|- 0
um --> freguez -|- 0
um --> fragil -|- 0
um --> fogo -|- 0
um --> figurão -|- 0
um --> ficou -|- 0
um --> feixe -|- 0
um --> favor -|- 0
um --> falar -|- 0
um --> facto -|- 0
um --> exemplar -|- 0
um --> ex-seminarista -|- 0
um --> eterno -|- 0
um --> estudante -|- 0
um --> espelhinho -|- 0
um --> especulador -|- 0
um --> especifico -|- 0
um --> esculptor -|- 0
um --> escravo -|- 0
um --> enterro -|- 0
um --> enfadamento -|- 0
um --> encanto -|- 0
um --> emprego -|- 0
um --> elogio -|- 0
um --> duo -|- 0
um --> duello -|- 0
um --> drama -|- 0
um --> dito -|- 0
um --> diadema -|- 0
um --> dez -|- 0
um --> deus -|- 0
um --> desengano -|- 0
um --> desejo -|- 0
um --> desaforo -|- 0
um --> deputado -|- 0
um --> deleite -|- 0
um --> defeitosinho -|- 0
um --> decimo -|- 0
um --> debuxo -|- 0
um --> dandy -|- 0
um --> curiosissimo -|- 0
um --> crime -|- 0
um --> creançola -|- 0
um --> creado -|- 0
um --> corpo -|- 0
um --> coqueiro -|- 0
um --> copo -|- 0
um --> contracto -|- 0
um --> composto -|- 0
um --> complemento -|- 0
um --> companheiro -|- 0
um --> como -|- 0
um --> collar -|- 0
um --> clarão -|- 0
um --> cheiro -|- 0
um --> charuto -|- 0
um --> charlatão -|- 0
um --> chale -|- 0
um --> ceu -|- 0
um --> cego -|- 0
um --> cavalleiro -|- 0
um --> cavalheiro -|- 0
um --> castello -|- 0
um --> cartão -|- 0
um --> cartorio -|- 0
um --> cartaz -|- 0
um --> capotinho -|- 0
um --> caminho -|- 0
um --> camafeu -|- 0
um --> caderno -|- 0
um --> cachorro -|- 0
um --> cacho -|- 0
um --> breve -|- 0
um --> botão -|- 0
um --> bocadinho -|- 0
um --> bispo -|- 0
um --> beneficio -|- 0
um --> bello -|- 0
um --> beijo -|- 0
um --> bater -|- 0
um --> barulho -|- 0
um --> barbeiro -|- 0
um --> banho -|- 0
um --> bajulador -|- 0
um --> aviso -|- 0
um --> assumpto -|- 0
um --> assobio -|- 0
um --> aro -|- 0
um --> appellido -|- 0
um --> aos -|- 0
um --> antigo -|- 0
um --> annos -|- 0
um --> anjissimo -|- 0
um --> anel -|- 0
um --> andaço -|- 0
um --> alto -|- 0
um --> almirante -|- 0
um --> allopatha -|- 0
um --> agradecimento -|- 0
um --> adversario -|- 0
um --> adereço -|- 0
um --> adagio -|- 0
um --> acto -|- 0
um --> accordo -|- 0
um --> abysmo -|- 0
um --> abreviado -|- 0
um --> abraço -|- 0
um --> Rothschild -|- 0
um --> Panegyrico -|- 0
um --> Manual -|- 0
um --> 7 -|- 0
um --> 5 -|- 0
um --> 4 -|- 0
ultimos --> seis -|- 0
ultimos --> retratos -|- 0
ultimos --> rasgos -|- 0
ultimos --> guinchos -|- 0
ultimos --> dias -|- 0
ultimos --> annos -|- 0
ultimos --> actos -|- 0
ultimo --> surto -|- 0
ultimo --> quadro -|- 0
ultimo --> o -|- 0
ultimo --> ficaria -|- 0
ultimo --> fez -|- 0
ultimo --> degrau -|- 0
ultimo --> beijo -|- 0
ultimo --> atalhei-o -|- 0
ultimo --> anno -|- 0
ultimo --> acto -|- 0
ultimas --> respostas -|- 0
ultimas --> pontas -|- 0
ultimas --> palavras -|- 0
ultimas --> horas -|- 0
ultimamente --> até -|- 0
ultimamente --> a -|- 0
ultima --> visita -|- 0
ultima --> palavra -|- 0
ultima --> nós -|- 0
ultima --> foi -|- 0
ultima --> dirigida -|- 0
ultima --> como -|- 0
ultima --> a -|- 0
ultima --> Um -|- 0
ultima --> LXXVII -|- 0
tôa --> Paixão -|- 0
tínhamos --> o -|- 0
têm --> a -|- 0
tédio --> já -|- 0
tèm --> são -|- 0
tèm --> ouvidos -|- 0
tão --> violento -|- 0
tão --> velho -|- 0
tão --> tremulo -|- 0
tão --> transtornada -|- 0
tão --> tenues -|- 0
tão --> temente -|- 0
tão --> tarde -|- 0
tão --> supplices -|- 0
tão --> simples -|- 0
tão --> senhor -|- 0
tão --> satisfeito -|- 0
tão --> santa -|- 0
tão --> sabido -|- 0
tão --> ruim -|- 0
tão --> rijos -|- 0
tão --> retrahidas -|- 0
tão --> religioso -|- 0
tão --> recente -|- 0
tão --> rasgadas -|- 0
tão --> queridos -|- 0
tão --> queixosos -|- 0
tão --> proximos -|- 0
tão --> poucos -|- 0
tão --> pouco -|- 0
tão --> perto -|- 0
tão --> pequenino -|- 0
tão --> particular -|- 0
tão --> outra -|- 0
tão --> obtusos -|- 0
tão --> nella -|- 0
tão --> naturalmente -|- 0
tão --> naturaes -|- 0
tão --> miudo -|- 0
tão --> lugubres -|- 0
tão --> longos -|- 0
tão --> longe -|- 0
tão --> leviana -|- 0
tão --> lento -|- 0
tão --> irritada -|- 0
tão --> involuntaria -|- 0
tão --> intensamente -|- 0
tão --> inteiramente -|- 0
tão --> imperativo -|- 0
tão --> grave -|- 0
tão --> grandes -|- 0
tão --> fugitiva -|- 0
tão --> fixa -|- 0
tão --> finas -|- 0
tão --> felizes -|- 0
tão --> feios -|- 0
tão --> facilmente -|- 0
tão --> extremosos -|- 0
tão --> extranho -|- 0
tão --> estreitas -|- 0
tão --> escuro -|- 0
tão --> escassa -|- 0
tão --> enthusiasmado -|- 0
tão --> doente -|- 0
tão --> divina -|- 0
tão --> devota -|- 0
tão --> demoradamente -|- 0
tão --> de -|- 0
tão --> da -|- 0
tão --> curtido -|- 0
tão --> curta -|- 0
tão --> culpada -|- 0
tão --> cruel -|- 0
tão --> concertadamente -|- 0
tão --> commovido -|- 0
tão --> claro -|- 0
tão --> cheios -|- 0
tão --> cheio -|- 0
tão --> cedo -|- 0
tão --> cautelosos -|- 0
tão --> caro?»--«Não -|- 0
tão --> bonitos -|- 0
tão --> bonito?»--«Aquella -|- 0
tão --> bonito -|- 0
tão --> bonita -|- 0
tão --> bella -|- 0
tão --> baixo -|- 0
tão --> azul -|- 0
tão --> atordoado -|- 0
tão --> apaixonadamente -|- 0
tão --> andarilhas -|- 0
tão --> amigo -|- 0
tão --> amigas -|- 0
tão --> alvoroçado -|- 0
tão --> alto -|- 0
tão --> alta -|- 0
tão --> alegre -|- 0
tá --> boa -|- 0
typhoide --> e -|- 0
types --> of -|- 0
tusso --> Já -|- 0
turvação --> recusaria -|- 0
turvação --> grande -|- 0
turvas --> á -|- 0
turcos --> as -|- 0
turbulento --> expansivo -|- 0
turbilhão --> que -|- 0
tumulo --> com -|- 0
tudo,--mas --> ha -|- 0
tudo --> vi -|- 0
tudo --> um -|- 0
tudo --> travessuras -|- 0
tudo --> tanto -|- 0
tudo --> são -|- 0
tudo --> sempre -|- 0
tudo --> quiz -|- 0
tudo --> primeiro -|- 0
tudo --> pela -|- 0
tudo --> passado -|- 0
tudo --> passa -|- 0
tudo --> parecia -|- 0
tudo --> ouvil-a -|- 0
tudo --> nem -|- 0
tudo --> menos -|- 0
tudo --> mediante -|- 0
tudo --> marchetado -|- 0
tudo --> marcha -|- 0
tudo --> mantimento -|- 0
tudo --> mal -|- 0
tudo --> lhe -|- 0
tudo --> jantei -|- 0
tudo --> imital-o -|- 0
tudo --> ha -|- 0
tudo --> gente -|- 0
tudo --> fica -|- 0
tudo --> fazia-me -|- 0
tudo --> fazel-o -|- 0
tudo --> está -|- 0
tudo --> estará -|- 0
tudo --> estaria -|- 0
tudo --> espontaneamente -|- 0
tudo --> eram -|- 0
tudo --> era -|- 0
tudo --> elle -|- 0
tudo --> digo -|- 0
tudo --> desde -|- 0
tudo --> depois -|- 0
tudo --> de -|- 0
tudo --> convergia -|- 0
tudo --> como -|- 0
tudo --> claro -|- 0
tudo --> claramente -|- 0
tudo --> cança -|- 0
tudo --> cabe -|- 0
tudo --> arido -|- 0
tudo --> aquillo -|- 0
tudo --> andou -|- 0
tudo --> alli -|- 0
tudo --> acudiamos -|- 0
tudo --> acabou -|- 0
tudo --> Tinha-se -|- 0
tudo --> Sou -|- 0
tudo --> Ri-se -|- 0
tudo --> Quem -|- 0
tudo --> Padua -|- 0
tudo --> Os -|- 0
tudo --> Manduca -|- 0
tudo --> Juro -|- 0
tudo --> Escobar -|- 0
tudo --> Eram -|- 0
tudo --> Enxugue -|- 0
tudo --> Então -|- 0
tudo --> Chamem-me -|- 0
tudo --> Aquella -|- 0
tudo --> Ahi -|- 0
tudo --> Acaso -|- 0
tudo --> Abaixo -|- 0
tudo --> A -|- 0
tudo --> 1:070$000 -|- 0
tuas --> lagrimas -|- 0
tua --> mãe -|- 0
tua --> mulher -|- 0
tua --> existencia -|- 0
tua --> creação._» -|- 0
tua --> cabeça -|- 0
tu --> valias -|- 0
tu --> vaes -|- 0
tu --> tambem -|- 0
tu --> sabes -|- 0
tu --> rias -|- 0
tu --> pódes -|- 0
tu --> não -|- 0
tu --> nem -|- 0
tu --> grande -|- 0
tu --> gostavas -|- 0
tu --> estás -|- 0
tu --> concordarás -|- 0
tu --> LII -|- 0
truz --> mas -|- 0
truncado --> e -|- 0
truncado --> de -|- 0
truncado --> da -|- 0
truismo --> a -|- 0
troça --> concentrada -|- 0
troça --> comsigo -|- 0
trovoada --> um -|- 0
trouxessem --> doces -|- 0
trouxesse --> mas -|- 0
trouxesse --> a -|- 0
trouxeram --> tambem -|- 0
trouxeram --> a -|- 0
trouxe-os --> para -|- 0
trouxe-lhe --> certa -|- 0
trouxe --> á -|- 0
trouxe --> um -|- 0
trouxe --> o -|- 0
trouxe --> a -|- 0
trote --> Tambem -|- 0
tropel --> de -|- 0
tropel --> a -|- 0
tropa --> e -|- 0
tronco --> em -|- 0
tronco --> e -|- 0
trombeta --> soou -|- 0
trombeta --> nenhuma -|- 0
trocámos --> Agora -|- 0
trocou --> por -|- 0
trocou --> o -|- 0
trocou --> de -|- 0
trocassemos --> a -|- 0
trocariam --> mais -|- 0
trocariam --> flores -|- 0
trocarem --> em -|- 0
trocara --> uns -|- 0
trocara --> com -|- 0
trocar --> memorias -|- 0
trocar --> as -|- 0
trocando --> os -|- 0
trocam --> a -|- 0
trocados --> os -|- 0
trocado --> simples -|- 0
troca --> muita -|- 0
troca --> das -|- 0
triumphalmente --> olhando -|- 0
triumphalmente --> e -|- 0
tristezas --> e -|- 0
tristezas --> de -|- 0
tristezas --> como -|- 0
tristeza --> que -|- 0
tristeza --> mas -|- 0
tristeza --> de -|- 0
tristeza --> da -|- 0
tristeza --> Se -|- 0
tristes --> e -|- 0
tristes --> Via-se -|- 0
triste --> tio -|- 0
triste --> rota -|- 0
triste --> pedaço -|- 0
triste --> nem -|- 0
triste --> menino -|- 0
triste --> corpo -|- 0
triste --> bilhete -|- 0
triste --> beijou-lhe -|- 0
triste --> Você -|- 0
triste --> A -|- 0
triplo --> para -|- 0
trio --> depois -|- 0
trinta --> seculos -|- 0
trinta --> está -|- 0
trinta --> e -|- 0
trinta --> cincoenta -|- 0
trigueira --> vestido -|- 0
tributo --> usual -|- 0
tribunas --> da -|- 0
triangulo --> e -|- 0
treze --> vinte -|- 0
treze --> para -|- 0
treze --> anteriores -|- 0
trez --> mil -|- 0
trez --> annos -|- 0
tres --> viuvos -|- 0
tres --> seguintes -|- 0
tres --> reminiscencias -|- 0
tres --> perguntas -|- 0
tres --> paginas -|- 0
tres --> mezes,--donde -|- 0
tres --> janellas -|- 0
tres --> fariam -|- 0
tres --> dias -|- 0
tres --> degraus -|- 0
tres --> cães -|- 0
tres --> camisas -|- 0
tres --> bolas -|- 0
tres --> amigas -|- 0
treplica --> Fiz -|- 0
trepidas --> e -|- 0
tremulo --> que -|- 0
tremulo --> os -|- 0
tremulo --> Era -|- 0
tremulas --> e -|- 0
tremula --> cuidou -|- 0
tremula --> Todos -|- 0
tremiam-me --> Não -|- 0
tremia --> e -|- 0
tremeu-me --> ao -|- 0
treme --> a -|- 0
trem --> mas -|- 0
trem --> ficará -|- 0
trefega --> e -|- 0
trechosinho --> pegado -|- 0
trecho --> escripto -|- 0
trecho --> do -|- 0
trecho --> da -|- 0
trecho --> ainda -|- 0
treatment --> of -|- 0
trazidas --> por -|- 0
traziam --> tocha -|- 0
traziam --> tal -|- 0
traziam --> o -|- 0
traziam --> ar -|- 0
trazia-o --> para -|- 0
trazia-as --> sem -|- 0
trazia --> uma -|- 0
trazia --> um -|- 0
trazia --> touca -|- 0
trazia --> tanto -|- 0
trazia --> signaes -|- 0
trazia --> os -|- 0
trazia --> o -|- 0
trazia --> no -|- 0
trazia --> gosto -|- 0
trazia --> eram -|- 0
trazia --> da -|- 0
trazia --> cousas -|- 0
trazia --> com -|- 0
trazia --> bordão -|- 0
trazia --> as -|- 0
trazia --> arrepios -|- 0
trazia --> apenas -|- 0
trazia --> Assim -|- 0
trazer-me --> José -|- 0
trazer-lhe --> o -|- 0
trazer-lhe --> a -|- 0
trazer --> comsigo -|- 0
trazer --> a -|- 0
trazer --> Conto -|- 0
trazem --> ensinamentos -|- 0
traz --> sensações -|- 0
traz --> mas -|- 0
traz --> inutilisava -|- 0
traz --> em -|- 0
traz --> e -|- 0
traz --> ao -|- 0
traz --> Tal -|- 0
traz --> No -|- 0
traz --> Homem -|- 0
travêssa --> e -|- 0
travou --> com -|- 0
travessuras --> e -|- 0
travessuras --> de -|- 0
travessuras --> Cheguei -|- 0
travesso --> como -|- 0
travesseiro --> não -|- 0
travesseiro --> Comprehende-se -|- 0
travessa --> de -|- 0
tratei --> dos -|- 0
tratava-me --> com -|- 0
tratava --> mal -|- 0
tratava --> delles -|- 0
tratava --> de -|- 0
tratariam --> de -|- 0
tratar --> dos -|- 0
tratar --> de -|- 0
tratar --> com -|- 0
tratando-as --> com -|- 0
tratamento --> que -|- 0
tratamento --> de -|- 0
tratal-o --> com -|- 0
tratal-a --> á -|- 0
tratado --> entre -|- 0
tratado --> LIX -|- 0
tratado --> Foi -|- 0
tratadas --> com -|- 0
traste --> inutil -|- 0
trasladar --> para -|- 0
traria --> nenhum -|- 0
traria --> a -|- 0
trapinho --> que -|- 0
trapalhices --> calligraphicas -|- 0
tranças --> uni-as -|- 0
tranças --> refazel-as -|- 0
tranças --> que -|- 0
tranças --> com -|- 0
tranças --> Que -|- 0
tranças --> Ora -|- 0
tranças --> Onde -|- 0
transtornou --> ainda -|- 0
transtornada --> que -|- 0
transpôl-a --> assim -|- 0
transposição --> do -|- 0
transpiração --> Por -|- 0
transluzisse --> cá -|- 0
transferisse --> a -|- 0
transferir --> o -|- 0
transferindo --> o -|- 0
transferida --> a -|- 0
transferencias --> de -|- 0
transeunte --> Suppõe -|- 0
transcription --> errors -|- 0
transcribe --> and -|- 0
transcrevesse --> a -|- 0
transcrever --> aqui -|- 0
transcrever --> a -|- 0
transcrevendo --> os -|- 0
transbordando --> de -|- 0
tranquillos --> o -|- 0
tranquillo --> as -|- 0
tranquillidade --> Era -|- 0
trancas --> Não -|- 0
trambolhões --> não -|- 0
traiu-me --> Este -|- 0
tragico --> mas -|- 0
tragico --> Tramou -|- 0
tragico --> Effectivamente -|- 0
tragicamente --> o -|- 0
tragedia --> deste -|- 0
tragar-me --> Quantos -|- 0
tragar --> tambem -|- 0
traduzido --> em -|- 0
traduzida --> por -|- 0
tradição --> por -|- 0
trademark/copyright --> agreement -|- 0
trademark --> owner -|- 0
trademark --> license -|- 0
trademark --> but -|- 0
trademark --> as -|- 0
trademark --> Project -|- 0
trademark --> It -|- 0
trademark --> Contact -|- 0
trabalhos --> da -|- 0
trabalho --> para -|- 0
trabalho --> fez-me -|- 0
trabalho --> era -|- 0
trabalho --> effectivo -|- 0
trabalho --> commigo -|- 0
trabalhavam --> só -|- 0
trabalhava --> teve -|- 0
trabalhava --> que -|- 0
trabalharei --> com -|- 0
trabalhar --> por -|- 0
trabalhar --> para -|- 0
trabalhar --> contra -|- 0
trabalhar --> Não -|- 0
trabalhador --> e -|- 0
trabalhador --> Como -|- 0
trabalhado --> quatro -|- 0
trabalhada --> com -|- 0
toucador --> mas -|- 0
touca --> os -|- 0
touca --> branca -|- 0
totalmente --> e -|- 0
totalidade --> do -|- 0
total --> silencio -|- 0
total --> proxima -|- 0
total --> o -|- 0
total --> falava -|- 0
total --> em -|- 0
total --> e -|- 0
total --> ausencia -|- 0
tossir --> quando -|- 0
tossesinha --> secca -|- 0
tosse --> ha -|- 0
tosse --> Se -|- 0
tosse --> Por -|- 0
tosca --> argolinha -|- 0
torto --> uma -|- 0
torre --> um -|- 0
torre --> de -|- 0
torpes --> Sim -|- 0
torpe --> para -|- 0
tornou --> á -|- 0
tornou --> trazia -|- 0
tornou --> quando -|- 0
tornou --> elle -|- 0
tornou --> cá -|- 0
tornou --> ao -|- 0
torno --> desta -|- 0
torno --> a -|- 0
tornei --> de -|- 0
torne --> a -|- 0
tornavamos --> ao -|- 0
tornavam --> ao -|- 0
tornava-me --> agora -|- 0
tornava --> á -|- 0
tornava --> ao -|- 0
tornariamos --> á -|- 0
tornaria --> a -|- 0
tornaram --> ás -|- 0
tornaram --> e -|- 0
tornar --> á -|- 0
tornar --> atraz -|- 0
tornar --> a -|- 0
tornando-me --> absolutamente -|- 0
tornando --> mais -|- 0
tornando --> logo -|- 0
torna --> justamente -|- 0
torna --> a -|- 0
tormentos --> que -|- 0
toquei --> no -|- 0
toque --> Depois -|- 0
tonto --> atordoado -|- 0
tonto --> Bentinho -|- 0
tontinha --> Aquillo -|- 0
tonta --> machucar -|- 0
tonta --> e -|- 0
tona --> da -|- 0
tomára --> café -|- 0
tomou --> conta -|- 0
tomo --> truncado -|- 0
tomo --> ordens -|- 0
tomo --> Eia -|- 0
tomei-me --> de -|- 0
tomei --> tal -|- 0
tomei --> café -|- 0
tomei --> ares -|- 0
tomavam --> a -|- 0
tomava --> o -|- 0
tomaram --> vigairarias -|- 0
tomara --> elle -|- 0
tomar --> áquella -|- 0
tomar --> suadouro -|- 0
tomar --> pé -|- 0
tomar --> os -|- 0
tomar --> folego -|- 0
tomar --> commigo -|- 0
tomar --> chá -|- 0
tomar --> a -|- 0
tomando --> confiança -|- 0
tomando --> a -|- 0
tomam --> nos -|- 0
tomam --> as -|- 0
toma --> o -|- 0
toma --> notas -|- 0
tom --> vontade -|- 0
tom --> não -|- 0
tom --> leve -|- 0
tom --> juntamente -|- 0
tom --> da -|- 0
tolices --> sem -|- 0
tolhia --> a -|- 0
tolheu-me --> esse -|- 0
tolerava-as --> e -|- 0
tolerava --> esses -|- 0
tolerava --> a -|- 0
toga --> com -|- 0
todos --> uma -|- 0
todos --> têm -|- 0
todos --> que -|- 0
todos --> perguntei -|- 0
todos --> pagou -|- 0
todos --> o -|- 0
todos --> nós -|- 0
todos --> não -|- 0
todos --> nem -|- 0
todos --> muitos -|- 0
todos --> mas -|- 0
todos --> iam -|- 0
todos --> ficaram -|- 0
todos --> falámos -|- 0
todos --> e -|- 0
todos --> devemos -|- 0
todos --> da -|- 0
todos --> como -|- 0
todos --> as -|- 0
todos --> aqui -|- 0
todos --> acudi -|- 0
todos --> Vi -|- 0
todos --> Um -|- 0
todos --> Muitos -|- 0
todos --> José -|- 0
todos --> Em -|- 0
todos --> Deus -|- 0
todos --> Comtudo -|- 0
todos --> Cerrava -|- 0
todo --> seguir -|- 0
todo --> se -|- 0
todo --> risonho -|- 0
todo --> receio -|- 0
todo --> rabeca -|- 0
todo --> não -|- 0
todo --> nem -|- 0
todo --> má -|- 0
todo --> meigo -|- 0
todo --> mal -|- 0
todo --> falava -|- 0
todo --> esse -|- 0
todo --> elle -|- 0
todo --> com -|- 0
todo --> bastava -|- 0
todo --> as -|- 0
todo --> arco -|- 0
todo --> ao -|- 0
todo --> alegria -|- 0
todo --> Se -|- 0
todo --> Sabios -|- 0
todo --> Podia -|- 0
todo --> O -|- 0
todo --> Estou -|- 0
todo --> Como -|- 0
todo --> Com -|- 0
todo --> A -|- 0
todas --> sem -|- 0
todas --> quatro -|- 0
todas --> os -|- 0
todas --> nos -|- 0
todas --> mas -|- 0
todas --> fazem -|- 0
todas --> e -|- 0
todas --> do -|- 0
todas --> de -|- 0
todas --> creem -|- 0
todas --> até -|- 0
todas --> assim -|- 0
todas --> ageis -|- 0
todas --> affirmava -|- 0
todas --> Só -|- 0
todas --> Agora -|- 0
toda --> sem -|- 0
toda --> rapada -|- 0
toda --> parada -|- 0
toda --> outra -|- 0
toda --> o -|- 0
toda --> no -|- 0
toda --> nas -|- 0
toda --> menos -|- 0
toda --> inteira -|- 0
toda --> esta -|- 0
toda --> desde -|- 0
toda --> depois -|- 0
toda --> aquella -|- 0
tocámos --> outra -|- 0
tochas --> distribuidas -|- 0
tochas --> accesas -|- 0
tochas --> Era -|- 0
tocha --> qualquer -|- 0
tocha --> mas -|- 0
tocha --> e -|- 0
tocha --> da -|- 0
tocha --> commum -|- 0
tocha --> amargamente -|- 0
tocha --> Padua -|- 0
tocha --> E -|- 0
tocavamos --> o -|- 0
tocava --> tocava -|- 0
tocava --> no -|- 0
tocava --> inteiramente -|- 0
tocava --> com -|- 0
tocava --> agora -|- 0
tocava --> Divina -|- 0
tocaria --> desesperadamente -|- 0
tocar-nos --> com -|- 0
tocar --> no -|- 0
tocar --> eu -|- 0
tocar --> a -|- 0
tocar --> Não -|- 0
tocando --> para -|- 0
tocando --> corneta -|- 0
tocado --> do -|- 0
tocado --> de -|- 0
tocadas --> apertadas -|- 0
toca --> é -|- 0
toada --> vi -|- 0
toada --> universal -|- 0
toada --> um -|- 0
toada --> não -|- 0
toada --> nem -|- 0
toada --> do -|- 0
toada --> daquelle -|- 0
toada --> Nem -|- 0
toa --> perguntei -|- 0
toa --> Escobar -|- 0
to --> whom -|- 0
to --> viewing -|- 0
to --> this -|- 0
to --> subscribe -|- 0
to --> return -|- 0
to --> receive -|- 0
to --> reaching -|- 0
to --> protect -|- 0
to --> prevent -|- 0
to --> prepare -|- 0
to --> our -|- 0
to --> other -|- 0
to --> occur -|- 0
to --> meet -|- 0
to --> maintaining -|- 0
to --> indemnify -|- 0
to --> incomplete -|- 0
to --> identify -|- 0
to --> help -|- 0
to --> hear -|- 0
to --> give -|- 0
to --> fix -|- 0
to --> electronic -|- 0
to --> date -|- 0
to --> copying -|- 0
to --> complying -|- 0
to --> comply -|- 0
to --> come -|- 0
to --> charge -|- 0
to --> carry -|- 0
to --> calculate -|- 0
to --> anyone -|- 0
to --> any -|- 0
to --> abide -|- 0
to --> 5,000 -|- 0
tiára --> desde -|- 0
tiveste --> dezesete -|- 0
tivessem --> ouvido -|- 0
tivesse --> é -|- 0
tivesse --> vivido -|- 0
tivesse --> resentimentos -|- 0
tivesse --> pendulo -|- 0
tivesse --> o -|- 0
tivesse --> havido -|- 0
tivesse --> graça -|- 0
tivesse --> então -|- 0
tivesse --> entre -|- 0
tivesse --> defesa -|- 0
tivesse --> de -|- 0
tivesse --> culpa -|- 0
tivesse --> a -|- 0
tivesse --> Molleza -|- 0
tiveram --> o -|- 0
tiveram --> naquelles -|- 0
tiveram --> desgostos -|- 0
tivera --> uma -|- 0
tivera --> noites -|- 0
tivera --> e -|- 0
tiver --> outro -|- 0
tiver --> feito -|- 0
tiver --> ainda -|- 0
tivemos --> outros -|- 0
tive-lhes --> inveja -|- 0
tive --> é -|- 0
tive --> uma -|- 0
tive --> tempo -|- 0
tive --> medo -|- 0
tive --> ideia -|- 0
tive --> férias -|- 0
tive --> foi -|- 0
tive --> egual -|- 0
tive --> animo -|- 0
tive --> Emfim -|- 0
titulo,--isto --> o -|- 0
titulo --> seu -|- 0
titulo --> passo -|- 0
titulo --> inteiro -|- 0
titulo --> deu-me -|- 0
titulo --> como -|- 0
titulo --> Uma -|- 0
titulo --> II -|- 0
titulo --> Estava -|- 0
titulo --> C -|- 0
tisica --> tinha -|- 0
tirou-me --> daquella -|- 0
tirou --> em -|- 0
tirou --> e -|- 0
tirou --> daquella -|- 0
tirou --> aquelle -|- 0
tiro --> a -|- 0
tiro --> Quando -|- 0
tirei --> dous -|- 0
tirei --> do -|- 0
tirava-os --> de -|- 0
tirava --> os -|- 0
tirasse --> os -|- 0
tirasse --> da -|- 0
tirasse --> ao -|- 0
tirasse --> a -|- 0
tirarem --> o -|- 0
tiraram --> o -|- 0
tiraram --> no -|- 0
tirar-nos --> o -|- 0
tirar-lhe --> os -|- 0
tirar --> os -|- 0
tirar --> espaço -|- 0
tirar --> daqui -|- 0
tirar --> as -|- 0
tirar --> a -|- 0
tirando --> esse -|- 0
tirando --> a -|- 0
tiram --> a -|- 0
tiral-os --> outra -|- 0
tirado --> a -|- 0
tirada --> um -|- 0
tirada --> do -|- 0
tique-tique --> afrancezado -|- 0
tique-tique --> Pegava -|- 0
tique-tique --> Parece -|- 0
tique-tique --> Eram -|- 0
tio,--cousa --> que -|- 0
tio --> é -|- 0
tio --> acha -|- 0
tio --> Hei -|- 0
tinteiro --> de -|- 0
tinta --> e -|- 0
tinta --> ao -|- 0
tinta --> Uma -|- 0
tinir --> o -|- 0
tinhamos --> por -|- 0
tinhamos --> passado -|- 0
tinhamos --> outra -|- 0
tinhamos --> o -|- 0
tinhamos --> jurado -|- 0
tinhamos --> falado -|- 0
tinham-me --> ares -|- 0
tinham --> uma -|- 0
tinham --> sentido -|- 0
tinham --> ouvido -|- 0
tinham --> outro -|- 0
tinham --> na -|- 0
tinham --> mais -|- 0
tinham --> já -|- 0
tinham --> ido -|- 0
tinham --> ficado -|- 0
tinham --> de -|- 0
tinham --> chaves -|- 0
tinha-lhe --> falado -|- 0
tinha --> á -|- 0
tinha --> «O -|- 0
tinha --> voz -|- 0
tinha --> vindo -|- 0
tinha --> uns -|- 0
tinha --> trabalho -|- 0
tinha --> tal -|- 0
tinha --> só -|- 0
tinha --> subido -|- 0
tinha --> sido -|- 0
tinha --> sempre -|- 0
tinha --> rido -|- 0
tinha --> respondi -|- 0
tinha --> razões -|- 0
tinha --> razão -|- 0
tinha --> pressa -|- 0
tinha --> porém -|- 0
tinha --> pintado -|- 0
tinha --> perdido -|- 0
tinha --> pegou -|- 0
tinha --> pedido -|- 0
tinha --> para -|- 0
tinha --> palavra -|- 0
tinha --> outra -|- 0
tinha --> orgias -|- 0
tinha --> nove -|- 0
tinha --> necessidade -|- 0
tinha --> na -|- 0
tinha --> mudado -|- 0
tinha --> memoria -|- 0
tinha --> meia -|- 0
tinha --> janella -|- 0
tinha --> inertes -|- 0
tinha --> ido -|- 0
tinha --> gosto -|- 0
tinha --> gestos -|- 0
tinha --> febre -|- 0
tinha --> eu -|- 0
tinha --> esta -|- 0
tinha --> do -|- 0
tinha --> cuidado -|- 0
tinha --> começado -|- 0
tinha --> com -|- 0
tinha --> chave -|- 0
tinha --> carro -|- 0
tinha --> ao -|- 0
tinha --> amigos -|- 0
tinha --> alli -|- 0
tinha --> ainda -|- 0
tinha --> Platão -|- 0
tinha --> Em -|- 0
timido --> mas -|- 0
timidez --> vem -|- 0
timidez --> tambem -|- 0
timidez --> póde -|- 0
timidez --> me -|- 0
timidamente --> que -|- 0
timida --> e -|- 0
timida --> Não -|- 0
tilbury --> em -|- 0
tido --> conflictos -|- 0
ti.» --> Mas -|- 0
ti --> como -|- 0
ti --> com -|- 0
throughout --> numerous -|- 0
throno --> aos -|- 0
this --> paragraph -|- 0
